Connecting to host 192.168.20.2, port 5201
[  5] local 192.168.10.2 port 39916 connected to 192.168.20.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  16.4 MBytes   137 Mbits/sec    0    356 KBytes       
[  5]   1.00-2.00   sec  13.1 MBytes   110 Mbits/sec  720    498 KBytes       
[  5]   2.00-3.00   sec  71.0 MBytes   595 Mbits/sec  2835    648 KBytes       
[  5]   3.00-4.00   sec  68.8 MBytes   576 Mbits/sec  2873    191 KBytes       
[  5]   4.00-5.00   sec  66.9 MBytes   562 Mbits/sec  2776    492 KBytes       
[  5]   5.00-6.00   sec  69.6 MBytes   584 Mbits/sec  3336    803 KBytes       
[  5]   6.00-7.00   sec  69.0 MBytes   579 Mbits/sec  3749    585 KBytes       
[  5]   7.00-8.00   sec  68.0 MBytes   571 Mbits/sec  3330    614 KBytes       
[  5]   8.00-9.00   sec  68.5 MBytes   574 Mbits/sec  3613    614 KBytes       
[  5]   9.00-10.00  sec  70.2 MBytes   589 Mbits/sec  3370    608 KBytes       
[  5]  10.00-11.00  sec  68.6 MBytes   575 Mbits/sec  4413    441 KBytes       
[  5]  11.00-12.00  sec  68.5 MBytes   575 Mbits/sec  2160    636 KBytes       
[  5]  12.00-13.00  sec  66.1 MBytes   555 Mbits/sec  3507    741 KBytes       
[  5]  13.00-14.00  sec  69.4 MBytes   582 Mbits/sec  2964    605 KBytes       
[  5]  14.00-15.00  sec  68.6 MBytes   575 Mbits/sec  3081    653 KBytes       
[  5]  15.00-16.00  sec  69.2 MBytes   581 Mbits/sec  3321    573 KBytes       
[  5]  16.00-17.00  sec  69.9 MBytes   586 Mbits/sec  3827    585 KBytes       
[  5]  17.00-18.00  sec  69.6 MBytes   584 Mbits/sec  2430    628 KBytes       
[  5]  18.00-19.00  sec  65.4 MBytes   549 Mbits/sec  2878    611 KBytes       
[  5]  19.00-20.00  sec  67.1 MBytes   563 Mbits/sec  4187    608 KBytes       
[  5]  20.00-21.00  sec  67.5 MBytes   566 Mbits/sec  3509    605 KBytes       
