Connecting to host 192.168.20.2, port 5201
[  5] local 192.168.10.2 port 50566 connected to 192.168.20.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.50 MBytes  71.2 Mbits/sec    0   5.00 MBytes       
[  5]   1.00-2.00   sec  20.9 MBytes   175 Mbits/sec  585   7.50 MBytes       
[  5]   2.00-3.00   sec  26.4 MBytes   221 Mbits/sec    0   6.29 MBytes       
[  5]   3.00-4.00   sec  24.8 MBytes   208 Mbits/sec    0   6.26 MBytes       
[  5]   4.00-5.00   sec  26.1 MBytes   219 Mbits/sec    0   6.31 MBytes       
[  5]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0   6.19 MBytes       
[  5]   6.00-7.00   sec  25.8 MBytes   216 Mbits/sec    0   6.02 MBytes       
[  5]   7.00-8.00   sec  24.6 MBytes   207 Mbits/sec    0   6.00 MBytes       
[  5]   8.00-9.00   sec  26.1 MBytes   219 Mbits/sec    0   6.21 MBytes       
[  5]   9.00-10.00  sec  26.0 MBytes   218 Mbits/sec    0   6.19 MBytes       
[  5]  10.00-11.01  sec  22.1 MBytes   183 Mbits/sec    0   5.66 KBytes       
[  5]  11.01-12.00  sec  19.2 MBytes   163 Mbits/sec    0   6.03 MBytes       
[  5]  12.00-13.00  sec  26.0 MBytes   218 Mbits/sec    0   5.99 MBytes       
[  5]  13.00-14.00  sec  26.0 MBytes   218 Mbits/sec    0   6.00 MBytes       
[  5]  14.00-15.00  sec  26.1 MBytes   219 Mbits/sec    0   5.82 MBytes       
[  5]  15.00-16.00  sec  26.0 MBytes   218 Mbits/sec    0   5.96 MBytes       
[  5]  16.00-17.00  sec  26.0 MBytes   218 Mbits/sec    0   6.07 MBytes       
[  5]  17.00-18.00  sec  26.1 MBytes   219 Mbits/sec    0   5.94 MBytes       
[  5]  18.00-19.00  sec  26.1 MBytes   219 Mbits/sec    0   6.04 MBytes       
[  5]  19.00-20.00  sec  24.9 MBytes   209 Mbits/sec    0   6.14 MBytes       
[  5]  20.00-21.00  sec  25.8 MBytes   216 Mbits/sec    0   5.97 MBytes       
[  5]  21.00-22.00  sec  26.5 MBytes   222 Mbits/sec    0   6.46 MBytes       
[  5]  22.00-23.00  sec  24.6 MBytes   207 Mbits/sec    0   6.12 MBytes       
[  5]  23.00-24.00  sec  26.0 MBytes   218 Mbits/sec    0   5.94 MBytes       
[  5]  24.00-25.00  sec  26.0 MBytes   218 Mbits/sec    0   6.03 MBytes       
[  5]  25.00-26.00  sec  25.1 MBytes   210 Mbits/sec    0   6.46 MBytes       
[  5]  26.00-27.00  sec  26.4 MBytes   221 Mbits/sec    0   6.35 MBytes       
[  5]  27.00-28.00  sec  25.9 MBytes   217 Mbits/sec    0   6.04 MBytes       
[  5]  28.00-29.00  sec  24.8 MBytes   208 Mbits/sec    0   6.11 MBytes       
[  5]  29.00-30.00  sec  26.2 MBytes   220 Mbits/sec    0   5.81 MBytes       
[  5]  30.00-31.00  sec  15.1 MBytes   127 Mbits/sec    0   5.83 MBytes       
[  5]  31.00-32.00  sec  26.1 MBytes   218 Mbits/sec    0   5.95 MBytes       
[  5]  32.00-33.00  sec  26.1 MBytes   220 Mbits/sec    0   5.89 MBytes       
[  5]  33.00-34.00  sec  25.9 MBytes   217 Mbits/sec    0   6.09 MBytes       
[  5]  34.00-35.00  sec  24.6 MBytes   207 Mbits/sec    0   5.99 MBytes       
[  5]  35.00-36.00  sec  26.1 MBytes   219 Mbits/sec    0   5.86 MBytes       
[  5]  36.00-37.00  sec  26.2 MBytes   220 Mbits/sec    0   5.86 MBytes       
[  5]  37.00-38.00  sec  26.0 MBytes   218 Mbits/sec    0   6.23 MBytes       
[  5]  38.00-39.00  sec  24.6 MBytes   207 Mbits/sec    0   6.51 MBytes       
[  5]  39.00-40.00  sec  26.2 MBytes   220 Mbits/sec    0   6.37 MBytes       
[  5]  40.00-41.00  sec  26.2 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  5]  41.00-42.00  sec  24.8 MBytes   207 Mbits/sec    0   6.27 MBytes       
[  5]  42.00-43.01  sec  26.1 MBytes   218 Mbits/sec    0   6.15 MBytes       
[  5]  43.01-44.00  sec  25.6 MBytes   216 Mbits/sec    0   5.98 MBytes       
[  5]  44.00-45.00  sec  26.0 MBytes   218 Mbits/sec    0   6.23 MBytes       
[  5]  45.00-46.01  sec  26.4 MBytes   220 Mbits/sec    0   6.36 MBytes       
[  5]  46.01-47.00  sec  24.8 MBytes   208 Mbits/sec    0   6.21 MBytes       
[  5]  47.00-48.00  sec  25.9 MBytes   217 Mbits/sec    0   6.13 MBytes       
[  5]  48.00-49.00  sec  26.4 MBytes   221 Mbits/sec    0   5.95 MBytes       
[  5]  49.00-50.00  sec  25.9 MBytes   217 Mbits/sec    0   5.92 MBytes       
[  5]  50.00-51.00  sec  26.0 MBytes   218 Mbits/sec    0   5.87 MBytes       
[  5]  51.00-52.00  sec  24.8 MBytes   207 Mbits/sec    0   6.25 MBytes       
[  5]  52.00-53.00  sec  27.1 MBytes   228 Mbits/sec    0   5.90 MBytes       
[  5]  53.00-54.00  sec  25.9 MBytes   217 Mbits/sec    0   5.87 MBytes       
[  5]  54.00-55.00  sec  24.8 MBytes   207 Mbits/sec    0   6.24 MBytes       
[  5]  55.00-56.00  sec  17.9 MBytes   150 Mbits/sec    0   6.16 MBytes       
[  5]  56.00-57.00  sec  26.2 MBytes   220 Mbits/sec    0   6.23 MBytes       
[  5]  57.00-58.00  sec  26.0 MBytes   218 Mbits/sec    0   6.21 MBytes       
[  5]  58.00-59.00  sec  24.8 MBytes   208 Mbits/sec    0   5.98 MBytes       
[  5]  59.00-60.00  sec  26.0 MBytes   218 Mbits/sec    0   5.91 MBytes       
[  5]  60.00-61.00  sec  26.1 MBytes   219 Mbits/sec    0   5.86 MBytes       
[  5]  61.00-62.00  sec  26.1 MBytes   219 Mbits/sec    0   6.01 MBytes       
[  5]  62.00-63.00  sec  26.0 MBytes   218 Mbits/sec    0   6.32 MBytes       
[  5]  63.00-64.00  sec  26.0 MBytes   218 Mbits/sec    0   6.23 MBytes       
[  5]  64.00-65.00  sec  24.9 MBytes   208 Mbits/sec    0   6.35 MBytes       
[  5]  65.00-66.04  sec  19.4 MBytes   157 Mbits/sec    0   6.01 MBytes       
[  5]  66.04-67.00  sec  24.6 MBytes   215 Mbits/sec    0   6.47 MBytes       
[  5]  67.00-68.00  sec  26.5 MBytes   222 Mbits/sec    0   6.31 MBytes       
[  5]  68.00-69.00  sec  24.5 MBytes   206 Mbits/sec    0   6.05 MBytes       
[  5]  69.00-70.00  sec  26.1 MBytes   219 Mbits/sec    0   6.18 MBytes       
[  5]  70.00-71.00  sec  26.2 MBytes   220 Mbits/sec    0   6.09 MBytes       
[  5]  71.00-72.00  sec  24.8 MBytes   207 Mbits/sec    0   6.35 MBytes       
[  5]  72.00-73.00  sec  25.9 MBytes   217 Mbits/sec    0   6.10 MBytes       
[  5]  73.00-74.00  sec  26.0 MBytes   218 Mbits/sec    0   6.05 MBytes       
[  5]  74.00-75.00  sec  26.2 MBytes   220 Mbits/sec    0   6.19 MBytes       
[  5]  75.00-76.00  sec  24.9 MBytes   209 Mbits/sec    0   6.18 MBytes       
[  5]  76.00-77.00  sec  26.0 MBytes   218 Mbits/sec    0   6.15 MBytes       
[  5]  77.00-78.00  sec  25.9 MBytes   217 Mbits/sec    0   6.08 MBytes       
[  5]  78.00-79.01  sec  19.2 MBytes   160 Mbits/sec    0   5.66 KBytes       
[  5]  79.01-80.00  sec  22.0 MBytes   187 Mbits/sec    0   6.05 MBytes       
[  5]  80.00-81.00  sec  25.0 MBytes   209 Mbits/sec    0   5.84 MBytes       
[  5]  81.00-82.00  sec  26.4 MBytes   222 Mbits/sec    0   5.77 MBytes       
[  5]  82.00-83.00  sec  26.0 MBytes   218 Mbits/sec    0   6.08 MBytes       
[  5]  83.00-84.00  sec  25.9 MBytes   217 Mbits/sec    0   6.09 MBytes       
[  5]  84.00-85.00  sec  26.2 MBytes   220 Mbits/sec    0   6.53 MBytes       
[  5]  85.00-86.02  sec  25.1 MBytes   207 Mbits/sec    0   6.49 MBytes       
[  5]  86.02-87.00  sec  26.1 MBytes   223 Mbits/sec    0   6.01 MBytes       
[  5]  87.00-88.00  sec  26.1 MBytes   219 Mbits/sec    0   6.01 MBytes       
[  5]  88.00-89.00  sec  26.0 MBytes   218 Mbits/sec    0   6.14 MBytes       
[  5]  89.00-90.00  sec  25.9 MBytes   217 Mbits/sec    0   6.00 MBytes       
[  5]  90.00-91.00  sec  15.5 MBytes   130 Mbits/sec    0   6.01 MBytes       
[  5]  91.00-92.00  sec  24.6 MBytes   207 Mbits/sec    0   6.20 MBytes       
[  5]  92.00-93.00  sec  26.4 MBytes   221 Mbits/sec    0   5.90 MBytes       
[  5]  93.00-94.00  sec  26.1 MBytes   219 Mbits/sec    0   5.95 MBytes       
[  5]  94.00-95.00  sec  26.1 MBytes   219 Mbits/sec    0   6.03 MBytes       
[  5]  95.00-96.00  sec  25.9 MBytes   217 Mbits/sec    0   6.07 MBytes       
[  5]  96.00-97.00  sec  24.8 MBytes   208 Mbits/sec    0   6.39 MBytes       
[  5]  97.00-98.00  sec  26.0 MBytes   218 Mbits/sec    0   6.09 MBytes       
[  5]  98.00-99.00  sec  26.0 MBytes   218 Mbits/sec    0   5.98 MBytes       
[  5]  99.00-100.00 sec  26.0 MBytes   218 Mbits/sec    0   6.01 MBytes       
[  5] 100.00-101.00 sec  26.0 MBytes   218 Mbits/sec    0   6.10 MBytes       
[  5] 101.00-102.00 sec  24.9 MBytes   209 Mbits/sec    0   6.11 MBytes       
[  5] 102.00-103.00 sec  26.0 MBytes   218 Mbits/sec    0   6.03 MBytes       
[  5] 103.00-104.00 sec  25.9 MBytes   217 Mbits/sec    0   6.00 MBytes       
[  5] 104.00-105.00 sec  24.8 MBytes   207 Mbits/sec    0   6.33 MBytes       
[  5] 105.00-106.00 sec  26.0 MBytes   218 Mbits/sec    0   6.11 MBytes       
[  5] 106.00-107.00 sec  26.4 MBytes   221 Mbits/sec    0   6.07 MBytes       
[  5] 107.00-108.00 sec  26.0 MBytes   218 Mbits/sec    0   6.04 MBytes       
[  5] 108.00-109.00 sec  25.9 MBytes   217 Mbits/sec    0   6.01 MBytes       
[  5] 109.00-110.02 sec  24.8 MBytes   204 Mbits/sec    0   5.66 KBytes       
[  5] 110.02-111.00 sec  14.9 MBytes   127 Mbits/sec    0   6.11 MBytes       
[  5] 111.00-112.00 sec  25.9 MBytes   217 Mbits/sec    0   5.83 MBytes       
[  5] 112.00-113.00 sec  25.8 MBytes   216 Mbits/sec    0   5.98 MBytes       
[  5] 113.00-114.00 sec  26.1 MBytes   220 Mbits/sec    0   6.14 MBytes       
[  5] 114.00-115.00 sec  26.0 MBytes   218 Mbits/sec    0   6.04 MBytes       
[  5] 115.00-116.00 sec  25.4 MBytes   213 Mbits/sec    0   6.24 MBytes       
[  5] 116.00-117.00 sec  22.2 MBytes   187 Mbits/sec  446   5.98 MBytes       
[  5] 117.00-118.00 sec  26.6 MBytes   223 Mbits/sec    0   6.21 MBytes       
[  5] 118.00-119.00 sec  24.8 MBytes   208 Mbits/sec    0   6.20 MBytes       
[  5] 119.00-120.00 sec  25.9 MBytes   217 Mbits/sec    0   6.02 MBytes       
[  5] 120.00-121.00 sec  26.4 MBytes   221 Mbits/sec    0   5.97 MBytes       
[  5] 121.00-122.00 sec  26.1 MBytes   219 Mbits/sec    0   6.14 MBytes       
[  5] 122.00-123.00 sec  24.8 MBytes   208 Mbits/sec    0   6.10 MBytes       
[  5] 123.00-124.00 sec  25.8 MBytes   216 Mbits/sec    0   6.08 MBytes       
[  5] 124.00-125.00 sec  25.9 MBytes   217 Mbits/sec    0   6.01 MBytes       
[  5] 125.00-126.00 sec  26.0 MBytes   218 Mbits/sec    0   6.10 MBytes       
[  5] 126.00-127.00 sec  25.9 MBytes   217 Mbits/sec    0   6.06 MBytes       
[  5] 127.00-128.00 sec  24.8 MBytes   208 Mbits/sec   23   6.16 MBytes       
[  5] 128.00-129.00 sec  25.6 MBytes   215 Mbits/sec    0   6.11 MBytes       
[  5] 129.00-130.01 sec  25.2 MBytes   209 Mbits/sec    0   7.55 MBytes       
[  5] 130.01-131.05 sec  27.5 MBytes   223 Mbits/sec    0   6.40 MBytes       
[  5] 131.05-132.03 sec  24.8 MBytes   211 Mbits/sec    0   6.12 MBytes       
[  5] 132.03-133.00 sec  26.1 MBytes   226 Mbits/sec    0   6.07 MBytes       
[  5] 133.00-134.01 sec  25.1 MBytes   209 Mbits/sec    0   6.41 MBytes       
[  5] 134.01-135.01 sec  26.2 MBytes   221 Mbits/sec    0   6.02 MBytes       
[  5] 135.01-136.00 sec  24.5 MBytes   206 Mbits/sec    0   6.10 MBytes       
[  5] 136.00-137.00 sec  26.0 MBytes   218 Mbits/sec    0   5.79 MBytes       
[  5] 137.00-138.00 sec  26.2 MBytes   220 Mbits/sec    0   5.90 MBytes       
[  5] 138.00-139.07 sec  16.4 MBytes   129 Mbits/sec    0   5.81 MBytes       
[  5] 139.07-140.00 sec  24.5 MBytes   220 Mbits/sec    0   6.13 MBytes       
[  5] 140.00-141.00 sec  26.2 MBytes   220 Mbits/sec    0   5.87 MBytes       
[  5] 141.00-142.00 sec  25.9 MBytes   217 Mbits/sec    0   5.78 MBytes       
[  5] 142.00-143.00 sec  25.2 MBytes   211 Mbits/sec    0   6.09 MBytes       
[  5] 143.00-144.00 sec  26.4 MBytes   222 Mbits/sec    0   6.08 MBytes       
[  5] 144.00-145.00 sec  26.4 MBytes   221 Mbits/sec    0   6.32 MBytes       
[  5] 145.00-146.00 sec  26.1 MBytes   219 Mbits/sec    0   5.95 MBytes       
[  5] 146.00-147.00 sec  25.9 MBytes   217 Mbits/sec    0   6.10 MBytes       
[  5] 147.00-148.00 sec  24.8 MBytes   207 Mbits/sec    0   6.09 MBytes       
[  5] 148.00-149.00 sec  26.2 MBytes   220 Mbits/sec    0   6.09 MBytes       
[  5] 149.00-150.00 sec  25.9 MBytes   217 Mbits/sec    0   6.00 MBytes       
[  5] 150.00-151.00 sec  25.9 MBytes   217 Mbits/sec    0   5.93 MBytes       
[  5] 151.00-152.00 sec  25.9 MBytes   217 Mbits/sec    0   6.09 MBytes       
[  5] 152.00-153.06 sec  16.6 MBytes   132 Mbits/sec    0   6.03 MBytes       
[  5] 153.06-154.00 sec  24.9 MBytes   221 Mbits/sec    0   6.22 MBytes       
[  5] 154.00-155.00 sec  24.6 MBytes   206 Mbits/sec    0   6.22 MBytes       
[  5] 155.00-156.00 sec  26.4 MBytes   222 Mbits/sec    0   6.08 MBytes       
[  5] 156.00-157.00 sec  25.8 MBytes   216 Mbits/sec    0   6.07 MBytes       
[  5] 157.00-158.00 sec  26.0 MBytes   218 Mbits/sec    0   6.11 MBytes       
[  5] 158.00-159.00 sec  26.0 MBytes   218 Mbits/sec    0   6.07 MBytes       
[  5] 159.00-160.00 sec  24.5 MBytes   205 Mbits/sec    0   6.00 MBytes       
[  5] 160.00-161.00 sec  26.2 MBytes   220 Mbits/sec    0   6.49 MBytes       
[  5] 161.00-162.00 sec  25.9 MBytes   217 Mbits/sec    0   6.20 MBytes       
[  5] 162.00-163.00 sec  25.9 MBytes   217 Mbits/sec    0   6.07 MBytes       
[  5] 163.00-164.00 sec  25.6 MBytes   215 Mbits/sec    0   6.06 MBytes       
[  5] 164.00-165.00 sec  25.5 MBytes   214 Mbits/sec    0   6.19 MBytes       
[  5] 165.00-166.00 sec  24.8 MBytes   208 Mbits/sec    0   6.07 MBytes       
[  5] 166.00-167.00 sec  24.8 MBytes   207 Mbits/sec    0   6.15 MBytes       
[  5] 167.00-168.00 sec  25.9 MBytes   218 Mbits/sec    0   6.02 MBytes       
[  5] 168.00-169.00 sec  26.0 MBytes   218 Mbits/sec    0   5.98 MBytes       
[  5] 169.00-170.00 sec  26.0 MBytes   218 Mbits/sec    0   6.04 MBytes       
[  5] 170.00-171.00 sec  26.4 MBytes   221 Mbits/sec    0   6.10 MBytes       
[  5] 171.00-172.00 sec  24.8 MBytes   207 Mbits/sec    0   6.23 MBytes       
[  5] 172.00-173.00 sec  26.1 MBytes   220 Mbits/sec    0   6.02 MBytes       
[  5] 173.00-174.00 sec  25.9 MBytes   217 Mbits/sec    0   6.14 MBytes       
[  5] 174.00-175.00 sec  19.0 MBytes   159 Mbits/sec    0   5.96 MBytes       
[  5] 175.00-176.00 sec  24.9 MBytes   209 Mbits/sec    0   6.24 MBytes       
[  5] 176.00-177.00 sec  23.4 MBytes   196 Mbits/sec  238   6.19 MBytes       
[  5] 177.00-178.00 sec  26.0 MBytes   218 Mbits/sec    0   6.16 MBytes       
[  5] 178.00-179.00 sec  25.1 MBytes   211 Mbits/sec    0   6.07 MBytes       
[  5] 179.00-180.00 sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  5] 180.00-181.00 sec  25.6 MBytes   215 Mbits/sec    0   6.05 MBytes       
[  5] 181.00-182.00 sec  25.9 MBytes   217 Mbits/sec    0   6.20 MBytes       
[  5] 182.00-183.00 sec  25.9 MBytes   217 Mbits/sec    0   5.93 MBytes       
[  5] 183.00-184.00 sec  25.8 MBytes   216 Mbits/sec    0   6.06 MBytes       
[  5] 184.00-185.00 sec  26.4 MBytes   221 Mbits/sec    0   6.14 MBytes       
[  5] 185.00-186.00 sec  24.6 MBytes   206 Mbits/sec    0   6.02 MBytes       
[  5] 186.00-187.00 sec  26.0 MBytes   218 Mbits/sec    0   6.08 MBytes       
[  5] 187.00-188.00 sec  26.0 MBytes   218 Mbits/sec    0   5.78 MBytes       
[  5] 188.00-189.00 sec  26.6 MBytes   223 Mbits/sec    0   6.38 MBytes       
[  5] 189.00-190.00 sec  24.9 MBytes   209 Mbits/sec    0   6.07 MBytes       
[  5] 190.00-191.00 sec  26.2 MBytes   220 Mbits/sec    0   6.18 MBytes       
[  5] 191.00-192.01 sec  26.0 MBytes   216 Mbits/sec    0   6.06 MBytes       
[  5] 192.01-193.01 sec  25.9 MBytes   217 Mbits/sec    0   5.98 MBytes       
[  5] 193.01-194.00 sec  26.0 MBytes   219 Mbits/sec    0   6.01 MBytes       
[  5] 194.00-195.05 sec  27.2 MBytes   217 Mbits/sec    0   6.02 MBytes       
[  5] 195.05-196.00 sec  24.5 MBytes   217 Mbits/sec    0   5.95 MBytes       
[  5] 196.00-197.00 sec  24.6 MBytes   206 Mbits/sec    0   6.07 MBytes       
[  5] 197.00-198.00 sec  16.4 MBytes   137 Mbits/sec    0   6.27 MBytes       
[  5] 198.00-199.00 sec  26.4 MBytes   221 Mbits/sec    0   6.00 MBytes       
[  5] 199.00-200.00 sec  24.5 MBytes   206 Mbits/sec    0   6.08 MBytes       
[  5] 200.00-201.00 sec  26.1 MBytes   219 Mbits/sec    0   6.15 MBytes       
