Connecting to host 192.168.20.2, port 5201
[  5] local 192.168.10.2 port 41246 connected to 192.168.20.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  26.5 MBytes   222 Mbits/sec  1035   7.44 MBytes       
[  5]   1.00-2.00   sec  41.8 MBytes   351 Mbits/sec  296   1.37 MBytes       
[  5]   2.00-3.00   sec  44.1 MBytes   370 Mbits/sec   45   6.65 MBytes       
[  5]   3.00-4.00   sec  44.9 MBytes   376 Mbits/sec  204   6.44 MBytes       
[  5]   4.00-5.00   sec  42.2 MBytes   354 Mbits/sec   90   6.28 MBytes       
[  5]   5.00-6.00   sec  44.0 MBytes   369 Mbits/sec   90   6.63 MBytes       
[  5]   6.00-7.00   sec  45.0 MBytes   378 Mbits/sec   90   6.43 MBytes       
[  5]   7.00-8.03   sec  2.88 MBytes  23.5 Mbits/sec    2   8.45 MBytes       
[  5]   8.03-9.00   sec  39.6 MBytes   341 Mbits/sec  630   6.44 MBytes       
[  5]   9.00-10.00  sec  40.8 MBytes   342 Mbits/sec  743   6.21 MBytes       
[  5]  10.00-11.00  sec  48.9 MBytes   410 Mbits/sec   45   6.52 MBytes       
[  5]  11.00-12.00  sec  42.6 MBytes   358 Mbits/sec   90   6.18 MBytes       
[  5]  12.00-13.00  sec  42.1 MBytes   353 Mbits/sec  135   6.43 MBytes       
[  5]  13.00-14.00  sec  49.1 MBytes   411 Mbits/sec  180   6.32 MBytes       
[  5]  14.00-15.00  sec  43.0 MBytes   361 Mbits/sec  135   6.33 MBytes       
[  5]  15.00-16.00  sec  48.1 MBytes   403 Mbits/sec   90   6.24 MBytes       
[  5]  16.00-17.00  sec  31.9 MBytes   267 Mbits/sec   90   6.42 MBytes       
[  5]  17.00-18.00  sec  42.8 MBytes   359 Mbits/sec   84   6.30 MBytes       
[  5]  18.00-19.00  sec  43.6 MBytes   365 Mbits/sec  225   6.63 MBytes       
[  5]  19.00-20.00  sec  41.5 MBytes   349 Mbits/sec   45   6.69 MBytes       
[  5]  20.00-21.00  sec  39.9 MBytes   334 Mbits/sec  225   2.84 MBytes       
[  5]  21.00-22.00  sec  42.9 MBytes   360 Mbits/sec  252   6.48 MBytes       
[  5]  22.00-23.00  sec  39.1 MBytes   328 Mbits/sec  174   2.88 MBytes       
[  5]  23.00-24.00  sec  45.4 MBytes   380 Mbits/sec   90   6.08 MBytes       
[  5]  24.00-25.00  sec  42.6 MBytes   358 Mbits/sec  168   2.33 MBytes       
[  5]  25.00-26.00  sec  45.0 MBytes   377 Mbits/sec   90   6.53 MBytes       
[  5]  26.00-27.00  sec  39.8 MBytes   333 Mbits/sec  1659   2.67 MBytes       
[  5]  27.00-28.00  sec  44.9 MBytes   377 Mbits/sec   90   6.15 MBytes       
[  5]  28.00-29.00  sec  41.2 MBytes   346 Mbits/sec  129   2.42 MBytes       
[  5]  29.00-30.00  sec  45.2 MBytes   379 Mbits/sec   81   6.29 MBytes       
[  5]  30.00-31.00  sec  43.6 MBytes   366 Mbits/sec  180   2.87 MBytes       
[  5]  31.00-32.00  sec  47.8 MBytes   399 Mbits/sec   45   6.61 MBytes       
[  5]  32.00-33.00  sec  45.6 MBytes   384 Mbits/sec  315   6.33 MBytes       
[  5]  33.00-34.00  sec  42.5 MBytes   357 Mbits/sec  180   6.15 MBytes       
[  5]  34.00-35.00  sec  47.2 MBytes   396 Mbits/sec   90   6.22 MBytes       
[  5]  35.00-36.00  sec  43.6 MBytes   366 Mbits/sec  180   6.22 MBytes       
[  5]  36.00-37.00  sec  30.2 MBytes   254 Mbits/sec  180   6.18 MBytes       
[  5]  37.00-38.00  sec  44.5 MBytes   373 Mbits/sec  225   6.43 MBytes       
[  5]  38.00-39.00  sec  44.1 MBytes   371 Mbits/sec  135   6.20 MBytes       
[  5]  39.00-40.00  sec  46.5 MBytes   390 Mbits/sec  135   6.28 MBytes       
[  5]  40.00-41.00  sec  40.1 MBytes   337 Mbits/sec  254   6.02 MBytes       
[  5]  41.00-42.00  sec  41.5 MBytes   348 Mbits/sec  135   6.62 MBytes       
[  5]  42.00-43.00  sec  45.6 MBytes   383 Mbits/sec   90   6.32 MBytes       
[  5]  43.00-44.00  sec  41.2 MBytes   346 Mbits/sec  320   6.31 MBytes       
[  5]  44.00-45.00  sec  48.4 MBytes   406 Mbits/sec  135   6.34 MBytes       
[  5]  45.00-46.00  sec  37.1 MBytes   312 Mbits/sec  765   6.04 MBytes       
[  5]  46.00-47.00  sec  43.1 MBytes   361 Mbits/sec  450   2.75 MBytes       
[  5]  47.00-48.00  sec  46.4 MBytes   390 Mbits/sec   45   6.77 MBytes       
[  5]  48.00-49.01  sec  45.2 MBytes   377 Mbits/sec  264   6.25 MBytes       
[  5]  49.01-50.00  sec  42.8 MBytes   361 Mbits/sec   90   6.28 MBytes       
[  5]  50.00-51.00  sec  39.1 MBytes   328 Mbits/sec  363   6.45 MBytes       
[  5]  51.00-52.00  sec  41.4 MBytes   347 Mbits/sec  567   2.15 MBytes       
[  5]  52.00-53.00  sec  42.8 MBytes   359 Mbits/sec  174   6.30 MBytes       
[  5]  53.00-54.00  sec  42.5 MBytes   357 Mbits/sec  489   6.45 MBytes       
[  5]  54.00-55.00  sec  45.8 MBytes   384 Mbits/sec  180   6.51 MBytes       
[  5]  55.00-56.00  sec  35.9 MBytes   301 Mbits/sec   90   6.28 MBytes       
[  5]  56.00-57.00  sec  46.6 MBytes   391 Mbits/sec  135   6.84 MBytes       
[  5]  57.00-58.01  sec  41.2 MBytes   344 Mbits/sec  338   6.78 MBytes       
