Connecting to host 192.168.20.2, port 5201
[  5] local 192.168.10.2 port 56892 connected to 192.168.20.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.29   sec  89.1 MBytes   579 Mbits/sec  4473    537 KBytes       
[  5]   1.29-2.00   sec  48.2 MBytes   570 Mbits/sec  2520    778 KBytes       
[  5]   2.00-3.00   sec  70.6 MBytes   592 Mbits/sec  3206    752 KBytes       
[  5]   3.00-4.00   sec  66.9 MBytes   561 Mbits/sec  3670    526 KBytes       
[  5]   4.00-5.00   sec  70.8 MBytes   594 Mbits/sec  3636    625 KBytes       
[  5]   5.00-6.00   sec  68.5 MBytes   574 Mbits/sec  2997    667 KBytes       
[  5]   6.00-7.00   sec  68.1 MBytes   571 Mbits/sec  3239    656 KBytes       
[  5]   7.00-8.00   sec  68.2 MBytes   573 Mbits/sec  2970    506 KBytes       
[  5]   8.00-9.00   sec  69.1 MBytes   580 Mbits/sec  1774    690 KBytes       
[  5]   9.00-10.00  sec  65.1 MBytes   546 Mbits/sec  1968    761 KBytes       
[  5]  10.00-11.00  sec  65.9 MBytes   552 Mbits/sec  3537    673 KBytes       
[  5]  11.00-12.00  sec  65.0 MBytes   546 Mbits/sec  3023    410 KBytes       
[  5]  12.00-13.00  sec  65.1 MBytes   546 Mbits/sec  3898    761 KBytes       
[  5]  13.00-14.00  sec  65.8 MBytes   551 Mbits/sec  2351    650 KBytes       
[  5]  14.00-15.00  sec  64.4 MBytes   540 Mbits/sec  2927    529 KBytes       
[  5]  15.00-16.00  sec  63.1 MBytes   529 Mbits/sec  2504    609 KBytes       
[  5]  16.00-17.00  sec  64.1 MBytes   538 Mbits/sec  3600    806 KBytes       
[  5]  17.00-18.00  sec  65.0 MBytes   545 Mbits/sec  1918    662 KBytes       
[  5]  18.00-19.00  sec  67.2 MBytes   564 Mbits/sec  3324    716 KBytes       
[  5]  19.00-20.00  sec  64.9 MBytes   544 Mbits/sec  2918    636 KBytes       
[  5]  20.00-21.00  sec  64.8 MBytes   543 Mbits/sec  4492    472 KBytes       
[  5]  21.00-22.00  sec  44.0 MBytes   369 Mbits/sec  1801    696 KBytes       
[  5]  22.00-23.00  sec  64.2 MBytes   539 Mbits/sec  2608   1018 KBytes       
[  5]  23.00-24.00  sec  64.4 MBytes   540 Mbits/sec  3244    662 KBytes       
[  5]  24.00-25.00  sec  64.0 MBytes   536 Mbits/sec  3440    670 KBytes       
[  5]  25.00-26.00  sec  61.8 MBytes   518 Mbits/sec  3306    551 KBytes       
[  5]  26.00-27.00  sec  62.5 MBytes   525 Mbits/sec  4843    635 KBytes       
[  5]  27.00-28.00  sec  62.4 MBytes   523 Mbits/sec  3173    699 KBytes       
[  5]  28.00-29.00  sec  64.8 MBytes   543 Mbits/sec  2660    489 KBytes       
[  5]  29.00-30.00  sec  63.4 MBytes   532 Mbits/sec  3105    696 KBytes       
[  5]  30.00-31.00  sec  58.9 MBytes   493 Mbits/sec  2742    571 KBytes       
[  5]  31.00-32.00  sec  62.6 MBytes   526 Mbits/sec  3101    355 KBytes       
[  5]  32.00-33.00  sec  55.1 MBytes   462 Mbits/sec  2944   5.66 KBytes       
[  5]  33.00-34.00  sec  48.9 MBytes   410 Mbits/sec  3263    362 KBytes       
[  5]  34.00-35.00  sec  57.9 MBytes   486 Mbits/sec  2600    611 KBytes       
[  5]  35.00-36.00  sec  60.6 MBytes   509 Mbits/sec  2477    755 KBytes       
[  5]  36.00-37.00  sec  55.8 MBytes   467 Mbits/sec  2056    775 KBytes       
[  5]  37.00-38.00  sec  49.0 MBytes   411 Mbits/sec  1871    486 KBytes       
[  5]  38.00-39.00  sec  56.9 MBytes   478 Mbits/sec  2106    535 KBytes       
[  5]  39.00-40.00  sec  58.5 MBytes   491 Mbits/sec  3192    523 KBytes       
[  5]  40.00-41.00  sec  60.5 MBytes   506 Mbits/sec  1737    665 KBytes       
[  5]  41.00-42.00  sec  59.4 MBytes   499 Mbits/sec  2980    667 KBytes       
[  5]  42.00-43.00  sec  61.6 MBytes   517 Mbits/sec  3103    724 KBytes       
[  5]  43.00-44.02  sec  53.6 MBytes   441 Mbits/sec  2329    421 KBytes       
[  5]  44.02-45.00  sec  63.0 MBytes   539 Mbits/sec  3235    512 KBytes       
[  5]  45.00-46.00  sec  58.0 MBytes   487 Mbits/sec  2808    573 KBytes       
[  5]  46.00-47.00  sec  59.9 MBytes   502 Mbits/sec  3458    602 KBytes       
[  5]  47.00-48.00  sec  59.6 MBytes   500 Mbits/sec  2565    554 KBytes       
[  5]  48.00-49.00  sec  61.1 MBytes   513 Mbits/sec  1880    631 KBytes       
[  5]  49.00-50.00  sec  58.9 MBytes   494 Mbits/sec  2520    721 KBytes       
[  5]  50.00-51.00  sec  58.8 MBytes   493 Mbits/sec  3470    464 KBytes       
[  5]  51.00-52.00  sec  59.9 MBytes   502 Mbits/sec  3064    557 KBytes       
[  5]  52.00-53.00  sec  59.2 MBytes   497 Mbits/sec  2481    537 KBytes       
[  5]  53.00-54.00  sec  60.6 MBytes   508 Mbits/sec  3226    427 KBytes       
[  5]  54.00-55.00  sec  46.5 MBytes   390 Mbits/sec  2239    648 KBytes       
[  5]  55.00-56.00  sec  49.0 MBytes   411 Mbits/sec  4278    461 KBytes       
[  5]  56.00-57.00  sec  47.6 MBytes   400 Mbits/sec  2498    523 KBytes       
[  5]  57.00-58.00  sec  59.1 MBytes   496 Mbits/sec  2473    744 KBytes       
[  5]  58.00-59.00  sec  60.6 MBytes   509 Mbits/sec  3504    718 KBytes       
[  5]  59.00-60.00  sec  62.4 MBytes   522 Mbits/sec  4121    509 KBytes       
[  5]  60.00-61.00  sec  60.2 MBytes   506 Mbits/sec  3370    518 KBytes       
[  5]  61.00-62.00  sec  63.1 MBytes   529 Mbits/sec  4334    676 KBytes       
[  5]  62.00-63.00  sec  60.8 MBytes   510 Mbits/sec  2515    568 KBytes       
[  5]  63.00-64.00  sec  58.9 MBytes   494 Mbits/sec  3808    495 KBytes       
[  5]  64.00-65.00  sec  61.1 MBytes   513 Mbits/sec  3500    755 KBytes       
[  5]  65.00-66.00  sec  63.2 MBytes   531 Mbits/sec  4650    727 KBytes       
[  5]  66.00-67.00  sec  59.8 MBytes   501 Mbits/sec  4668    317 KBytes       
[  5]  67.00-68.00  sec  60.5 MBytes   507 Mbits/sec  3167    486 KBytes       
[  5]  68.00-69.00  sec  61.8 MBytes   519 Mbits/sec  3370    366 KBytes       
[  5]  69.00-70.00  sec  62.6 MBytes   525 Mbits/sec  2724    455 KBytes       
[  5]  70.00-71.00  sec  61.9 MBytes   519 Mbits/sec  2615    557 KBytes       
[  5]  71.00-72.00  sec  62.1 MBytes   521 Mbits/sec  3823    249 KBytes       
[  5]  72.00-73.00  sec  50.4 MBytes   423 Mbits/sec  1336    509 KBytes       
[  5]  73.00-74.00  sec  64.1 MBytes   538 Mbits/sec  3483    764 KBytes       
[  5]  74.00-75.00  sec  60.2 MBytes   505 Mbits/sec  2170    495 KBytes       
[  5]  75.00-76.00  sec  58.6 MBytes   492 Mbits/sec  3238    332 KBytes       
[  5]  76.00-77.00  sec  50.8 MBytes   426 Mbits/sec  3589    484 KBytes       
[  5]  77.00-78.00  sec  56.4 MBytes   473 Mbits/sec  3505    576 KBytes       
[  5]  78.00-79.00  sec  55.9 MBytes   469 Mbits/sec  3533    636 KBytes       
[  5]  79.00-80.00  sec  55.8 MBytes   468 Mbits/sec  4820    583 KBytes       
[  5]  80.00-81.00  sec  53.4 MBytes   448 Mbits/sec  3455    693 KBytes       
[  5]  81.00-82.00  sec  50.2 MBytes   421 Mbits/sec  2545    410 KBytes       
[  5]  82.00-83.00  sec  43.2 MBytes   363 Mbits/sec  2798    571 KBytes       
[  5]  83.00-84.00  sec  54.2 MBytes   455 Mbits/sec  2916    648 KBytes       
[  5]  84.00-85.00  sec  55.2 MBytes   463 Mbits/sec  2961    577 KBytes       
[  5]  85.00-86.00  sec  53.5 MBytes   448 Mbits/sec  2205    600 KBytes       
[  5]  86.00-87.00  sec  53.9 MBytes   452 Mbits/sec  2742    419 KBytes       
[  5]  87.00-88.00  sec  48.4 MBytes   406 Mbits/sec  2385    509 KBytes       
[  5]  88.00-89.00  sec  56.9 MBytes   477 Mbits/sec  3186    676 KBytes       
[  5]  89.00-90.00  sec  56.0 MBytes   470 Mbits/sec  3148    574 KBytes       
[  5]  90.00-91.00  sec  55.0 MBytes   461 Mbits/sec  1610    588 KBytes       
[  5]  91.00-92.00  sec  61.4 MBytes   515 Mbits/sec  2685    636 KBytes       
[  5]  92.00-93.00  sec  51.0 MBytes   428 Mbits/sec  2019   5.66 KBytes       
[  5]  93.00-94.00  sec  54.0 MBytes   453 Mbits/sec  2916    557 KBytes       
[  5]  94.00-95.00  sec  57.1 MBytes   479 Mbits/sec  3240    505 KBytes       
[  5]  95.00-96.00  sec  59.6 MBytes   500 Mbits/sec  2298    608 KBytes       
[  5]  96.00-97.00  sec  57.0 MBytes   478 Mbits/sec  2970    597 KBytes       
[  5]  97.00-98.00  sec  60.0 MBytes   503 Mbits/sec  2595    604 KBytes       
[  5]  98.00-99.00  sec  59.8 MBytes   502 Mbits/sec  3357    628 KBytes       
[  5]  99.00-100.00 sec  53.5 MBytes   449 Mbits/sec  2160    515 KBytes       
[  5] 100.00-101.03 sec  60.8 MBytes   496 Mbits/sec  3560    568 KBytes       
[  5] 101.03-102.07 sec  60.0 MBytes   484 Mbits/sec  1979    696 KBytes       
[  5] 102.07-103.05 sec  55.2 MBytes   474 Mbits/sec  2851    608 KBytes       
